"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2025","Peralta, Freddy","642547","Brewers","MIL","R","94.8","1651","3086",19.049382716049383,0.5349967595593,"FF","4-Seam Fastball",13.9,-15.1,1.2,"8",16.8,4.6,-8.3,-3.7,"-45",0.7917620137299771,0.09839816933638444
"2025","Gausman, Kevin","592332","Blue Jays","TOR","R","94.5","1627","3030",18.703703703703702,0.5369636963696369,"FF","4-Seam Fastball",14.1,-14.6,0.5,"3",16.8,11.1,-7.4,3.7,"50",0.6224256292906178,0.8993135011441648
"2025","Ray, Robbie","592662","Giants","SF","L","93.6","1593","3069",18.944444444444443,0.5190615835777126,"FF","4-Seam Fastball",13.2,-14.8,1.5,"10",18.2,8.2,-6.9,1.3,"19",0.8489702517162472,0.6498855835240275
"2025","Nelson, Ryne","669194","D-backs","AZ","R","95.7","1526","2466",15.222222222222221,0.6188158961881589,"FF","4-Seam Fastball",10.8,-13.3,2.5,"19",19.2,3.2,-6.7,-3.4,"-52",0.9565217391304348,0.12128146453089245
"2025","Parker, Mitchell","680730","Nationals","WSH","L","93","1501","2705",16.69753086419753,0.5548983364140481,"FF","4-Seam Fastball",13.8,-14.4,0.6,"4",18,5.8,-6.3,-0.5,"-9",0.6453089244851259,0.41418764302059496
"2025","Gallen, Zac","668678","D-backs","AZ","R","93.5","1410","3134",19.34567901234568,0.44990427568602426,"FF","4-Seam Fastball",14.2,-14.7,0.5,"4",17.2,4.3,-7,-2.7,"-39",0.6224256292906178,0.1853546910755149
"2025","Ryan, Joe","657746","Twins","MIN","R","93.7","1404","2794",17.246913580246915,0.5025053686471009,"FF","4-Seam Fastball",17.7,-18.1,0.4,"2",13.7,12.6,-11.4,1.3,"11",0.6086956521739131,0.6498855835240275
"2025","Gore, MacKenzie","669022","Nationals","WSH","L","95.3","1388","2818",17.395061728395063,0.49254790631653655,"FF","4-Seam Fastball",13.2,-14.2,0.9,"7",17,6.6,-7.6,-1,"-13",0.7322654462242563,0.3524027459954233
"2025","Castillo, Luis","622491","Mariners","SEA","R","95","1383","2988",18.444444444444443,0.46285140562248994,"FF","4-Seam Fastball",18.1,-17.7,-0.4,"-2",12.4,13,-12,1,"8",0.43707093821510296,0.6132723112128147
"2025","Soriano, José","667755","Angels","LAA","R","97.2","1368","2784",17.185185185185187,0.49137931034482757,"SI","Sinker",25.8,-20.8,5,"24",3.1,13.3,-15.1,-1.9,"-12",0.9641693811074918,0.1270358306188925
"2025","Pivetta, Nick","601713","Padres","SD","R","93.8","1350","2851",17.598765432098766,0.4735180638372501,"FF","4-Seam Fastball",11.5,-13.2,1.6,"12",19.8,2.8,-5.4,-2.7,"-49",0.8581235697940504,0.1853546910755149
"2025","Rodón, Carlos","607074","Yankees","NYY","L","94.1","1343","3212",19.82716049382716,0.4181195516811955,"FF","4-Seam Fastball",13.5,-14.3,0.8,"5",17.6,10.8,-6.6,4.2,"64",0.6933638443935927,0.9244851258581236
"2025","Sánchez, Cristopher","650911","Phillies","PHI","L","95.4","1332","2896",17.876543209876544,0.4599447513812155,"SI","Sinker",25.8,-21,4.8,"23",4.5,18.3,-14.9,3.4,"23",0.9543973941368078,1
"2025","Flaherty, Jack","656427","Tigers","DET","R","92.9","1327","2831",17.47530864197531,0.468738961497704,"FF","4-Seam Fastball",15.9,-16.4,0.6,"3",15.8,5.8,-8.4,-2.6,"-31",0.6453089244851259,0.19908466819221968
"2025","Valdez, Framber","664285","Astros","HOU","L","94.2","1321","2891",17.84567901234568,0.45693531649948116,"SI","Sinker",25.1,-22.9,2.2,"10",6,15.7,-15.3,0.4,"2",0.8241042345276873,0.5928338762214984
"2025","Senzatela, Antonio","622608","Rockies","COL","R","95","1316","2284",14.098765432098766,0.5761821366024519,"FF","4-Seam Fastball",18.4,-14.4,-4,"-27",11.7,4.9,-7.3,-2.5,"-33",0.04576659038901602,0.20823798627002288
"2025","Boyd, Matthew","571510","Cubs","CHC","L","93.3","1294","2746",16.950617283950617,0.4712308812818645,"FF","4-Seam Fastball",18.6,-15.9,-2.7,"-17",12.9,13.2,-8.2,5,"61",0.11441647597254005,0.965675057208238
"2025","Woo, Bryan","693433","Mariners","SEA","R","95.7","1284","2714",16.753086419753085,0.47310243183493,"FF","4-Seam Fastball",15.1,-15.8,0.8,"5",14.9,9.7,-9.7,0.1,"1",0.6933638443935927,0.4805491990846682
"2025","Cease, Dylan","656302","Padres","SD","R","97.1","1283","3044",18.790123456790123,0.421484888304862,"FF","4-Seam Fastball",10.7,-12.9,2.2,"17",18.5,3.7,-6.9,-3.2,"-47",0.9176201372997712,0.12814645308924486
"2025","Abbott, Andrew","671096","Reds","CIN","L","92.8","1263","2677",16.52469135802469,0.4717967874486365,"FF","4-Seam Fastball",15.7,-15.4,-0.3,"-2",16.2,9.1,-7.2,1.9,"26",0.4622425629290618,0.7276887871853547
"2025","Cease, Dylan","656302","Padres","SD","R","89.1","1243","3044",18.790123456790123,0.4083442838370565,"SL","Slider",31.2,-31.9,-0.7,"-2",3.3,1.2,3.5,-2.3,"-64",0.4129032258064516,0.16774193548387098
"2025","Pepiot, Ryan","686752","Rays","TB","R","95.2","1213","2698",16.65432098765432,0.449592290585619,"FF","4-Seam Fastball",11.2,-14,2.8,"20",19.1,7.9,-7.2,0.7,"10",0.9679633867276888,0.5583524027459954
"2025","Springs, Jeffrey","605488","Athletics","ATH","L","90.7","1211","2847",17.574074074074073,0.42536002809975415,"FF","4-Seam Fastball",17.5,-16.5,-1,"-6",16,11.4,-7,4.3,"62",0.32494279176201374,0.9336384439359268
"2025","Rodriguez, Eduardo","593958","D-backs","AZ","L","92","1207","2588",15.975308641975309,0.4663833075734158,"FF","4-Seam Fastball",17.3,-15.9,-1.4,"-9",14.9,5.6,-7.3,-1.7,"-24",0.2608695652173913,0.26773455377574373
"2025","deGrom, Jacob","594798","Rangers","TEX","R","97.5","1203","2614",16.135802469135804,0.46021423106350423,"FF","4-Seam Fastball",12.5,-13.6,1.1,"8",16.5,8.9,-8.4,0.5,"5",0.7711670480549199,0.5217391304347826
"2025","Pallante, Andre","669467","Cardinals","STL","R","94.5","1199","2720",16.790123456790123,0.44080882352941175,"FF","4-Seam Fastball",20.6,-14.2,-6.5,"-46",9.9,0.3,-6.9,-6.6,"-95",0.004576659038901602,0.013729977116704805
"2025","Baz, Shane","669358","Rays","TB","R","97","1194","2718",16.77777777777778,0.4392935982339956,"FF","4-Seam Fastball",12.6,-13.6,1,"8",16.7,9.9,-7.8,2.1,"27",0.7437070938215103,0.7482837528604119
